blue,green,red,ndwi,brightness,label,source_file
0.3493054,0.22774819,0.18359073,0.10735029,0.25354812,0,GSL_2007_09.tif
0.31758696,0.19708098,0.16907294,0.07649233,0.22791362,0,GSL_2007_09.tif
0.30467418,0.19255698,0.17677248,0.042738155,0.22466786,0,GSL_2007_09.tif
0.36601794,0.24172059,0.20501955,0.0821528,0.27091935,0,GSL_2007_09.tif
0.34563443,0.22070195,0.19356301,0.06551089,0.2532998,0,GSL_2007_09.tif
0.28635153,0.16833548,0.14671646,0.06862028,0.20046782,0,GSL_2007_09.tif
0.28036207,0.16004813,0.14040841,0.06536603,0.1936062,0,GSL_2007_09.tif
0.35957766,0.22630692,0.19040899,0.086144626,0.25876454,0,GSL_2007_09.tif
0.38450158,0.24440297,0.20590082,0.08550243,0.27826846,0,GSL_2007_09.tif
0.34817833,0.23059072,0.19940723,0.0725199,0.2593921,0,GSL_2007_09.tif
0.30370814,0.17998582,0.15636407,0.070229486,0.21335268,0,GSL_2007_09.tif
0.30902135,0.1865116,0.16768146,0.05316337,0.22107148,0,GSL_2007_09.tif
0.36157414,0.22454534,0.18410094,0.09897142,0.25674012,0,GSL_2007_09.tif
0.36337742,0.2340738,0.19718087,0.08554771,0.26487735,0,GSL_2007_09.tif
0.3212257,0.19287725,0.16429552,0.080021895,0.22613283,0,GSL_2007_09.tif
0.34814614,0.22810851,0.20172638,0.06137722,0.25932702,0,GSL_2007_09.tif
0.3338809,0.20460767,0.1777465,0.07025185,0.23874502,0,GSL_2007_09.tif
0.4110356,0.2608976,0.20469487,0.12071204,0.29220936,0,GSL_2007_09.tif
0.40614095,0.27346876,0.22565986,0.09578453,0.30175653,0,GSL_2007_09.tif
0.3914249,0.2672232,0.23535384,0.06341177,0.29800066,0,GSL_2007_09.tif
0.35899803,0.24136026,0.20483401,0.08186157,0.26839745,0,GSL_2007_09.tif
0.37268364,0.24436294,0.20529784,0.08687661,0.27411482,0,GSL_2007_09.tif
0.3713312,0.24284159,0.20307148,0.08918783,0.27241477,0,GSL_2007_09.tif
0.380412,0.23819746,0.20191191,0.08244647,0.27350712,0,GSL_2007_09.tif
0.38965383,0.28011465,0.24254318,0.07188528,0.30410388,0,GSL_2007_09.tif
0.37020457,0.25035825,0.20855422,0.09109349,0.27637234,0,GSL_1992_10.tif
0.36194608,0.24438414,0.21477537,0.064484574,0.27370188,0,GSL_1992_10.tif
0.37891763,0.26872644,0.22539423,0.08769541,0.29101276,0,GSL_1992_10.tif
0.38183463,0.262574,0.21708149,0.09484392,0.28716338,0,GSL_1992_10.tif
0.3701288,0.2463012,0.20635536,0.088247366,0.2742618,0,GSL_1992_10.tif
